x	y	w	h	class	class_name	time
447	715	122	373	4	ladder	17799
333	216	124	438	4	ladder	17799
1309	488	100	86	0	buba	17799
1457	470	109	78	0	buba	17799
1194	231	98	91	0	buba	17799
1433	417	112	76	0	buba	17799
318	261	123	414	4	ladder	17928
428	756	130	322	4	ladder	17928
1434	535	95	79	0	buba	17928
1394	446	104	73	0	buba	17928
1283	506	99	92	0	buba	17928
1193	317	99	77	0	buba	17928
405	782	126	299	4	ladder	18047
287	276	130	428	4	ladder	18047
1164	391	90	80	0	buba	18047
1235	520	115	95	0	buba	18047
1388	547	109	90	0	buba	18047
1360	521	102	91	0	buba	18047
1802	292	110	101	0	buba	18047
368	819	137	258	4	ladder	18175
1123	433	101	85	0	buba	18175
1169	544	120	97	0	buba	18175
258	319	127	432	4	ladder	18175
1318	541	124	139	0	buba	18175
329	856	139	229	4	ladder	18298
221	369	134	409	4	ladder	18298
1131	628	93	83	0	buba	18298
1092	461	100	91	0	buba	18298
1264	568	117	128	0	buba	18298
1222	694	93	74	0	buba	18421
1049	512	87	81	0	buba	18421
177	406	126	422	4	ladder	18421
1177	597	112	80	0	buba	18421
1076	655	98	90	0	buba	18421
1709	309	150	117	3	chest	18421
281	908	150	171	4	ladder	18421
131	451	129	412	4	ladder	18545
991	570	100	81	0	buba	18545
1167	719	102	88	0	buba	18545
999	674	121	104	0	buba	18545
1660	352	156	116	3	chest	18545
1084	711	128	139	0	buba	18668
951	623	100	69	0	buba	18668
938	707	124	92	0	buba	18668
90	491	133	458	4	ladder	18668
897	795	95	68	0	buba	18779
1031	754	115	99	0	buba	18779
914	666	107	71	0	buba	18779
1687	561	103	99	0	buba	18779
991	857	100	73	0	buba	18905
953	754	112	87	0	buba	18905
855	815	96	89	0	buba	18905
1560	473	147	127	3	chest	18905
949	882	108	76	0	buba	19030
862	687	93	77	0	buba	19030
789	827	124	102	0	buba	19030
1522	523	156	106	3	chest	19030
1618	640	104	105	0	buba	19030
1514	629	102	93	0	buba	19030
876	864	135	125	0	buba	19153
735	844	113	103	0	buba	19153
1494	559	143	114	3	chest	19153
1580	672	119	122	0	buba	19153
1473	671	101	90	0	buba	19153
691	939	106	69	0	buba	19282
1458	614	140	118	3	chest	19282
807	881	130	124	0	buba	19282
1446	719	101	92	0	buba	19282
1552	730	102	104	0	buba	19282
768	939	110	81	0	buba	19401
675	971	86	88	0	buba	19401
767	788	98	68	0	buba	19401
800	1032	90	53	0	buba	19401
1430	664	146	118	3	chest	19401
1528	792	112	97	0	buba	19401
738	898	93	72	0	buba	19529
640	988	97	95	0	buba	19529
1498	834	115	130	0	buba	19529
1199	805	96	81	0	buba	19529
712	985	92	76	0	buba	19649
1469	892	103	106	0	buba	19649
1376	780	142	116	3	chest	19649
1370	879	99	96	0	buba	19649
1213	968	115	90	0	buba	19773
1347	833	142	117	3	chest	19773
1438	963	115	96	0	buba	19773
1324	936	106	79	0	buba	19773
1312	882	151	119	3	chest	19898
1297	933	161	118	3	chest	20023
1303	975	170	104	3	chest	20147
1342	1015	171	69	3	chest	20272
1349	1040	215	43	3	chest	20396
1446	1049	187	32	3	chest	20521
1551	1051	189	28	3	chest	20662
1674	1020	116	57	0	buba	21795
143	773	98	79	0	buba	22680
202	742	93	80	0	buba	22799
270	719	89	82	0	buba	22923
151	809	97	87	0	buba	22923
45	771	72	58	0	buba	22923
198	796	88	74	0	buba	23048
263	810	73	67	0	buba	23171
368	728	87	76	0	buba	23171
291	786	76	84	0	buba	23296
1310	38	76	69	2	signpost	23296
417	705	85	67	0	buba	23296
314	757	82	92	0	buba	23419
434	686	86	82	0	buba	23419
1327	37	74	80	2	signpost	23419
320	739	74	93	0	buba	23530
1331	42	76	85	2	signpost	23530
15	842	77	91	0	buba	23530
1319	45	70	93	2	signpost	23654
324	773	70	68	0	buba	23654
268	711	60	70	0	buba	23654
1304	56	65	87	2	signpost	23783
320	761	73	70	0	buba	23783
272	692	74	72	0	buba	23783
445	698	63	78	0	buba	23783
1200	1057	87	23	4	ladder	23783
1280	64	71	90	2	signpost	23902
293	715	71	102	0	buba	23902
410	694	79	87	0	buba	23902
1252	54	71	89	2	signpost	24035
231	723	73	89	0	buba	24035
3	841	35	82	0	buba	24035
1224	37	74	89	2	signpost	24150
283	745	69	61	0	buba	24150
78	719	82	73	0	buba	24277
187	744	81	74	0	buba	24277
57	783	73	69	0	buba	24277
