x	y	w	h	class	class_name	time
551	183	67	61	0	buba	12420
590	432	93	64	0	buba	12420
753	264	64	86	2	signpost	12420
622	414	72	62	0	buba	12551
1018	184	79	110	1	kiki	12551
703	222	66	70	0	buba	12551
566	172	66	59	0	buba	12551
979	414	43	47	0	buba	12551
642	433	68	59	0	buba	12667
583	201	62	50	0	buba	12667
728	228	77	84	0	buba	12667
659	414	64	63	0	buba	12783
596	182	66	57	0	buba	12783
690	394	71	60	0	buba	12899
623	163	70	59	0	buba	12899
780	210	89	99	1	kiki	12899
722	368	66	69	0	buba	13015
643	149	69	57	0	buba	13015
785	178	106	124	1	kiki	13015
726	389	70	65	0	buba	13134
652	154	69	63	0	buba	13134
801	190	82	91	1	kiki	13134
761	319	50	60	0	buba	13134
727	370	64	68	0	buba	13247
646	152	66	64	0	buba	13247
996	216	94	117	1	kiki	13247
790	177	81	88	1	kiki	13247
720	352	75	66	0	buba	13364
636	137	68	64	0	buba	13364
788	161	72	98	1	kiki	13364
717	332	71	74	0	buba	13482
624	123	75	66	0	buba	13482
945	207	87	121	1	kiki	13482
775	147	76	99	1	kiki	13482
612	122	77	64	0	buba	13603
714	356	67	61	0	buba	13603
589	125	83	70	0	buba	13732
700	353	55	50	0	buba	13732
901	259	70	93	0	buba	13732
737	129	88	88	1	kiki	13732
676	321	70	70	0	buba	13848
710	119	98	80	0	buba	13848
875	228	82	98	0	buba	13848
577	118	84	61	0	buba	13848
863	248	79	102	1	kiki	13967
667	301	70	75	0	buba	13967
858	275	76	103	1	kiki	14081
655	280	90	95	1	kiki	14081
657	308	73	72	0	buba	14205
852	296	71	81	0	buba	14205
669	285	73	67	0	buba	14331
851	248	83	116	1	kiki	14331
688	272	70	67	0	buba	14449
325	280	75	94	1	kiki	14449
915	303	79	109	1	kiki	14565
390	293	98	89	1	kiki	14565
735	281	64	69	0	buba	14682
933	303	82	106	1	kiki	14682
428	289	78	94	1	kiki	14682
740	208	77	72	0	buba	14682
441	269	82	94	1	kiki	14798
749	272	64	64	0	buba	14798
942	295	78	101	1	kiki	14798
755	236	70	78	0	buba	14915
327	182	121	121	1	kiki	14915
943	273	72	109	1	kiki	14915
453	229	83	102	1	kiki	14915
933	263	75	107	1	kiki	15032
386	189	109	110	1	kiki	15032
755	224	65	85	0	buba	15032
404	211	92	99	1	kiki	15151
915	239	66	85	0	buba	15151
385	202	88	107	1	kiki	15266
889	223	74	97	1	kiki	15266
738	199	52	56	0	buba	15266
859	207	80	112	1	kiki	15380
487	197	81	99	1	kiki	15380
390	198	84	86	1	kiki	15380
702	219	64	77	1	kiki	15380
829	204	84	111	1	kiki	15498
680	215	68	75	1	kiki	15498
508	215	88	112	1	kiki	15498
457	224	88	108	1	kiki	15616
804	209	80	106	1	kiki	15616
665	209	65	66	0	buba	15616
644	205	67	68	0	buba	15732
787	201	74	108	1	kiki	15732
414	232	112	143	1	kiki	15732
625	227	58	73	0	buba	15848
780	231	77	103	1	kiki	15848
380	222	111	152	1	kiki	15965
775	271	85	108	1	kiki	15965
754	316	78	84	1	kiki	16081
1281	197	226	352	5	altar	16081
744	302	77	94	1	kiki	16200
583	329	54	63	0	buba	16200
572	251	60	76	0	buba	16200
754	320	82	98	1	kiki	16316
562	263	58	81	0	buba	16316
551	320	59	88	0	buba	16432
414	287	71	114	1	kiki	16432
767	359	94	104	1	kiki	16432
763	404	89	78	1	kiki	16549
564	311	58	88	0	buba	16670
776	392	78	96	1	kiki	16670
566	399	60	50	0	buba	16670
574	400	65	63	0	buba	16798
568	308	63	76	0	buba	16798
802	394	83	105	1	kiki	16798
821	404	99	117	1	kiki	16916
554	364	116	127	1	kiki	17030
848	393	104	140	1	kiki	17030
583	389	85	114	1	kiki	17149
635	403	70	71	0	buba	17149
331	353	69	136	1	kiki	17149
512	165	65	59	0	buba	17276
642	402	105	102	1	kiki	17276
891	457	90	91	1	kiki	17276
338	162	68	59	0	buba	17276
354	159	72	73	0	buba	17400
738	428	70	82	0	buba	17400
657	397	60	47	0	buba	17400
525	148	79	89	0	buba	17400
684	430	69	75	0	buba	17400
675	405	64	62	0	buba	17516
367	146	80	82	0	buba	17516
766	452	72	70	0	buba	17516
513	412	69	107	1	kiki	17516
516	137	108	93	1	kiki	17516
969	504	110	89	1	kiki	17516
536	422	68	111	1	kiki	17633
696	403	80	63	0	buba	17633
598	189	59	54	0	buba	17633
777	457	89	86	1	kiki	17633
449	203	56	58	0	buba	17749
741	405	73	66	0	buba	17749
790	459	96	88	1	kiki	17749
621	209	56	64	0	buba	17749
474	206	63	61	0	buba	17867
645	210	68	70	0	buba	17867
1048	521	94	102	1	kiki	17867
821	464	85	82	1	kiki	17867
503	201	77	70	0	buba	17984
686	435	98	96	1	kiki	17984
681	224	66	61	0	buba	17984
1049	524	109	108	1	kiki	17984
844	452	105	108	1	kiki	17984
714	245	67	66	0	buba	18099
716	446	93	97	1	kiki	18099
535	220	71	62	0	buba	18099
860	447	128	133	1	kiki	18099
1078	543	91	100	1	kiki	18099
741	283	59	68	0	buba	18216
575	254	63	67	0	buba	18216
886	461	116	122	1	kiki	18216
1117	554	95	92	1	kiki	18216
756	438	75	83	0	buba	18216
792	429	92	103	1	kiki	18332
767	295	62	64	0	buba	18332
599	275	61	66	0	buba	18332
1115	556	106	127	1	kiki	18332
799	300	63	71	0	buba	18450
625	288	70	58	0	buba	18450
1147	593	85	97	1	kiki	18450
841	425	79	100	1	kiki	18450
903	503	95	89	0	buba	18450
667	291	71	63	0	buba	18575
930	496	65	76	0	buba	18575
705	323	72	71	0	buba	18703
730	351	65	64	0	buba	18832
972	443	64	125	1	kiki	18832
880	381	57	85	0	buba	18832
919	463	71	114	1	kiki	18832
756	364	66	63	0	buba	18950
903	395	58	72	0	buba	18950
792	371	67	64	0	buba	19065
935	413	60	67	0	buba	19065
1229	595	79	102	1	kiki	19065
829	393	78	71	0	buba	19181
958	436	55	61	0	buba	19181
863	419	70	67	0	buba	19305
982	443	65	61	0	buba	19305
1076	590	73	73	0	buba	19305
1106	578	69	75	0	buba	19305
1015	440	58	66	0	buba	19450
1103	588	73	80	0	buba	19450
904	424	50	54	0	buba	19450
929	417	62	70	0	buba	19567
1048	401	56	81	0	buba	19567
954	415	72	75	0	buba	19680
1133	582	69	69	0	buba	19680
977	371	72	106	0	buba	19799
979	354	73	84	0	buba	20032
1017	347	63	76	0	buba	20032
1144	359	67	68	0	buba	20032
1163	374	78	68	0	buba	20149
1297	457	90	107	0	buba	20149
1184	558	64	65	0	buba	20149
861	442	73	79	1	kiki	20149
1016	237	82	174	1	kiki	20149
1319	461	84	90	1	kiki	20266
1209	496	60	82	0	buba	20266
875	450	62	81	1	kiki	20266
1056	292	80	86	0	buba	20266
1368	471	109	88	1	kiki	20382
1398	464	96	87	1	kiki	20499
1134	397	125	151	1	kiki	20499
1208	365	62	72	0	buba	20499
1094	346	57	61	0	buba	20499
1404	434	97	100	1	kiki	20617
912	461	75	78	1	kiki	20617
1237	414	65	75	0	buba	20733
920	432	70	103	1	kiki	20733
1065	203	78	96	2	signpost	20733
1203	333	77	70	0	buba	20733
927	437	85	90	1	kiki	20849
1398	408	87	105	1	kiki	20849
1226	440	64	62	0	buba	20849
1195	331	61	51	0	buba	20849
1043	384	92	91	1	kiki	20849
1207	459	64	59	0	buba	20966
1178	327	60	53	0	buba	20966
1354	380	93	99	1	kiki	20966
1178	450	66	68	0	buba	21082
1041	295	65	61	0	buba	21082
955	332	83	98	1	kiki	21082
1156	308	58	74	0	buba	21082
1283	381	98	107	1	kiki	21082
1147	445	60	70	0	buba	21199
910	326	78	102	1	kiki	21199
1226	388	84	114	1	kiki	21199
1006	288	61	63	0	buba	21199
983	181	75	89	1	kiki	21199
950	277	72	76	0	buba	21315
1085	437	56	71	0	buba	21315
928	177	79	86	2	signpost	21315
906	232	62	88	0	buba	21434
1087	384	79	109	1	kiki	21434
785	356	98	85	1	kiki	21434
965	202	65	122	0	buba	21548
844	202	79	152	1	kiki	21548
935	221	66	82	0	buba	21665
780	160	82	123	0	buba	21789
909	257	59	82	0	buba	21789
748	183	78	86	0	buba	21917
900	393	74	94	0	buba	21917
913	359	78	98	0	buba	21917
627	394	99	107	1	kiki	21917
710	232	66	66	0	buba	22032
583	376	101	132	1	kiki	22032
566	393	67	98	1	kiki	22149
